Endpoint,Category,HTTP Verb/Method,Description,"SuccessResponse ",Errorresponse,Property," 1",ErrorResponse,SuccessResponse
"
  /api/author/post
  ",Author,POST,"
  Add
  new Author object in DB
  ","{
  ""code"": ""POSTSUCCESS"",
  ""message"": ""Author added successfully""
}","{
  ""code"": ADDFAILS"",
  ""message"":Author already exist""
}",,,,
"
  /api/author/{authorId}
  ",Author,GET,"
  Get author object with given
  Author ID
  ","
  Author object
  ",,,,,
"
  /api/author/firstname/{firstname}
  ",Author,GET,"
  Get author with given first name
  ","
  Author object
  ",,,,,
"
  /api/author/lastname/{lastname}
  ",Author,GET,"
  Get author with given last name
  ","
  Author object
  ",,,,,
"
  /api/author/update/firstname/{authorId}
  ",Author,PUT,"
  Update first name for the given
  Author ID
  ",,,,,,
"
  /api/author/update/lastname/{authorId}
  ",Author,PUT,"
  Update last name for the given
  Author ID
  ",,,,,,
"
  /api/author/books/{authorId}
  ",Author,GET,"
  Get all books of an author
  ","
  {Books}
  ",,,,,
"
  /api/publisher/post
  ",Publisher,POST,"
  Add new publisher object
  ","{
  ""code"": ""POSTSUCCESS"",
  ""message"": ""Publisher added successfully""
}","{
  ""code"": ADDFAILS"",
  ""message"":Publisher already exist""
}",,,,
"
  /api/publishers
  ",Publisher,GET,"
  Get all publishers
  ","
  {Publisher}
  ",,,,,
"
  /api/publisher/{publisherId}
  ",Publisher,GET,"
  Get publisher object with given
  ID
  ","
  Publisher
  ",,,,,
"
  /api/publisher/name/{name}
  ",Publisher,GET,"
  Get publisher object with given
  name
  ","
  Publisher
  ",,,,,
"
  /api/publisher/city/{city}
  ",Publisher,GET,"
  Get all publishers in a city
  ","
  {Publisher}
  ",,,,,
"
  /api/publisher/update/state/{publisherId}
  ",Publisher,GET,"
  Get all publishers with given
  state name
  ","
  {Publisher}
  ",,,,,
"
  /api/publisher/update/city/{publisherId}
  ",Publisher,PUT,"
  Update the publisher’s name with
  given id
  ",,,,,,
"
  /api/publisher/update/name/{publisherId}
  ",Publisher,PUT,"
  Update the publisher’s city with
  given id
  ",,,,,,
"
  /api/publisher/state/{state}
  ",Publisher,PUT,"
  Update the publisher’s state
  with given state
  ",,,,,,
,Publisher,,,,,,,,
/api/book/post,Book,POST,Add new Book object in DB,"{
  ""code"": ""POSTSUCCESS"",
  ""message"": ""Book added successfully""
}","{
  ""code"": ADDFAILS"",
  ""message"":Book already exist""
}",,,,
/api/books/,Book,GET,Get all book object,"
  {Books}
  ",,,,,
/api/book/{isbn},Book,GET,Get Book Object,"
  Book
  ",,,,,
/api/book/title/{title},Book,GET,Get Book Object with title,"
  Book
  ",,,,,
/api/book/category/{category},Book,GET,Get Books of given category,"
  {Books}
  ",,,,,
/api/book/publisher/{publisherId},Book,GET,Get Books published by a publisher,"
  {Books}
  ",,,,,
/api/book/update/title/{isbn},Book,PUT,Update title of Book object with given ISBN,"
",,,,,
"
  Update title of Book object with given ISBN
  ",Book,PUT,Update description of Book object with given ISBN,"
",,,,,
/api/book/update/category/{isbn},Book,PUT,Update category of Book object with given ISBN,"
",,,,,
/api/book/update/edition/{isbn},Book,PUT,Update edition of Book object with given ISBN,"
",,,,,
/api/book/update/publisher/{isbn},Book,PUT,Update publisher Object of Book object with given ISBN,"
",,,,,
AUTH,,,,,,,,,
New Endpoint,,,,,,,,,
New Endpoint,,,,,,,,,
Code,,,,,,,,,
/api/state/post,State,POST,"
  Add
  new state object
  ","{
  ""code"": ""POSTSUCCESS"",
  ""message"": ""State added successfully""
}","{
  ""code"": ADDFAILS"",
  ""message"":State already exist""
}",,,,
"
  /api/states
  ",State,GET,"
  Get all states
  ","
  {State}
  ",,,,,
"
  /api/state/update/name/{stateId}
  ",State,GET,"
  Get state with given state ID
  ","
  State
  ",,,,,
"
  /api/state/{stateId}
  ",State,PUT,"
  Update state’s name with given
  state ID
  ",,,,,,
"
  /api/reviewer/post
  ",Reviewer,POST,"
  Add
  new reviewer object
  ","{
  ""code"": ""POSTSUCCESS"",
  ""message"": ""Reviewer added successfully""
}","{
  ""code"": ADDFAILS"",
  ""message"":Reviewer already exist""
}",,,,
